age,region,face_confidence,gender,dominant_gender,race,dominant_race,emotion,dominant_emotion,file_path,face_number
23,"{'x': 805, 'y': 309, 'w': 252, 'h': 252, 'left_eye': (975, 403), 'right_eye': (878, 410)}",0.95,"{'Woman': 98.96990656852722, 'Man': 1.0300922207534313}",Woman,"{'asian': 30.419430782727098, 'indian': 5.390619384124205, 'black': 2.766961375410721, 'white': 21.371189817332006, 'middle eastern': 6.834426591924022, 'latino hispanic': 33.21737745015352}",latino hispanic,"{'angry': 0.047008905676193535, 'disgust': 0.010015887528425083, 'fear': 0.814763642847538, 'happy': 96.75004482269287, 'sad': 2.3636549711227417, 'surprise': 0.01194566793856211, 'neutral': 0.0025679149985080585}",happy,image/child/image0.jpeg,1
25,"{'x': 632, 'y': 402, 'w': 138, 'h': 138, 'left_eye': None, 'right_eye': None}",0.99,"{'Woman': 2.5679033249616623, 'Man': 97.43209481239319}",Man,"{'asian': 27.999046444892883, 'indian': 0.3396207932382822, 'black': 0.13111691223457456, 'white': 64.50785994529724, 'middle eastern': 3.4403089433908463, 'latino hispanic': 3.5820510238409042}",white,"{'angry': 0.4763178811262775, 'disgust': 1.9447689063689495e-07, 'fear': 9.189129423447216, 'happy': 5.329415893174746e-07, 'sad': 90.04484355716966, 'surprise': 0.0004267504918675697, 'neutral': 0.28928128864057595}",sad,image/child/image0.jpeg,2
34,"{'x': 698, 'y': 438, 'w': 151, 'h': 151, 'left_eye': (796, 495), 'right_eye': (742, 496)}",0.9,"{'Woman': 99.84614849090576, 'Man': 0.1538493437692523}",Woman,"{'asian': 44.246151700386505, 'indian': 9.512764037416222, 'black': 3.3537874134652266, 'white': 6.263488904445702, 'middle eastern': 3.5621779300080494, 'latino hispanic': 33.061631504394505}",asian,"{'angry': 20.622506737709045, 'disgust': 9.117544442415237, 'fear': 19.898363947868347, 'happy': 0.0027268461053608917, 'sad': 42.00354218482971, 'surprise': 0.035343566560186446, 'neutral': 8.319976180791855}",sad,image/child/image14.jpeg,1
21,"{'x': 1215, 'y': 468, 'w': 162, 'h': 162, 'left_eye': (1319, 532), 'right_eye': (1260, 533)}",0.94,"{'Woman': 0.04594089987222105, 'Man': 99.95405673980713}",Man,"{'asian': 71.45693302154541, 'indian': 5.7964906096458435, 'black': 1.2409918941557407, 'white': 0.8179372176527977, 'middle eastern': 0.11578589910641313, 'latino hispanic': 20.571856200695038}",asian,"{'angry': 10.919336974620819, 'disgust': 0.06241254159249365, 'fear': 11.769905686378479, 'happy': 0.010821517935255542, 'sad': 35.181596875190735, 'surprise': 0.000657972941553453, 'neutral': 42.055270075798035}",neutral,image/child/image14.jpeg,2
22,"{'x': 296, 'y': 380, 'w': 208, 'h': 208, 'left_eye': (441, 454), 'right_eye': (355, 456)}",0.94,"{'Woman': 0.024012030917219818, 'Man': 99.97598528862}",Man,"{'asian': 40.0434285402298, 'indian': 3.3541128039360046, 'black': 1.0355085134506226, 'white': 27.529171109199524, 'middle eastern': 6.952308863401413, 'latino hispanic': 21.0854709148407}",asian,"{'angry': 96.59372012690066, 'disgust': 9.782005288744488e-09, 'fear': 0.014401865803227925, 'happy': 6.732881893192557e-06, 'sad': 3.0293313900433314, 'surprise': 0.00038127443533594234, 'neutral': 0.3621575223690245}",angry,image/child/image1.jpeg,1
24,"{'x': 872, 'y': 344, 'w': 181, 'h': 181, 'left_eye': (994, 415), 'right_eye': (927, 414)}",0.9,"{'Woman': 99.93563294410706, 'Man': 0.06436273106373847}",Woman,"{'asian': 1.8711462616920471, 'indian': 1.5492098405957222, 'black': 0.14178412966430187, 'white': 41.28505289554596, 'middle eastern': 9.027030318975449, 'latino hispanic': 46.12577557563782}",latino hispanic,"{'angry': 2.529353793079281e-06, 'disgust': 9.281653223780495e-09, 'fear': 0.0023907909053377807, 'happy': 1.0842441389158353e-07, 'sad': 2.5873395223183215e-11, 'surprise': 99.99760389328003, 'neutral': 4.1301955165385225e-16}",surprise,image/child/image12.jpeg,1
48,"{'x': 0, 'y': 0, 'w': 1920, 'h': 1080, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 15.321379899978638, 'Man': 84.67862010002136}",Man,"{'asian': 1.9997923895592922, 'indian': 0.03438028711857123, 'black': 0.012426648040120931, 'white': 94.82825963665603, 'middle eastern': 2.3109441137876576, 'latino hispanic': 0.814201638203957}",white,"{'angry': 0.15534235863015056, 'disgust': 8.715116406321499e-08, 'fear': 8.052462590057985e-05, 'happy': 1.4102468526289158e-05, 'sad': 87.89508938789368, 'surprise': 4.081866951648888e-11, 'neutral': 11.94947361946106}",sad,image/child/image6.jpeg,1
45,"{'x': 0, 'y': 0, 'w': 1920, 'h': 1080, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 7.481861859560013, 'Man': 92.51814484596252}",Man,"{'asian': 1.0060055844777125, 'indian': 0.14611974479320708, 'black': 0.1192960862350659, 'white': 89.09529577549746, 'middle eastern': 5.707794865036623, 'latino hispanic': 3.925488421262691}",white,"{'angry': 0.12163258649826565, 'disgust': 1.5552057236406198e-07, 'fear': 0.0008386539365910943, 'happy': 0.00010728792361189458, 'sad': 95.50553533467861, 'surprise': 3.013248164066039e-08, 'neutral': 4.3718884510927465}",sad,image/child/image7.jpeg,1
25,"{'x': 1016, 'y': 399, 'w': 110, 'h': 110, 'left_eye': None, 'right_eye': None}",0.97,"{'Woman': 3.850426897406578, 'Man': 96.14957571029663}",Man,"{'asian': 0.4559926145085556, 'indian': 1.271748577445915, 'black': 0.1199618537396963, 'white': 68.10264371602014, 'middle eastern': 23.25604578780582, 'latino hispanic': 6.793604726361665}",white,"{'angry': 0.040709960740059614, 'disgust': 4.516722285075048e-06, 'fear': 16.282346844673157, 'happy': 58.89330506324768, 'sad': 12.73425668478012, 'surprise': 1.7972132582144695e-05, 'neutral': 12.04935908317566}",happy,image/child/image13.jpeg,1
25,"{'x': 1249, 'y': 297, 'w': 186, 'h': 186, 'left_eye': None, 'right_eye': None}",0.95,"{'Woman': 12.616658210754395, 'Man': 87.38334774971008}",Man,"{'asian': 2.24880650639534, 'indian': 0.04844861396122724, 'black': 0.022801326122134924, 'white': 90.38906693458557, 'middle eastern': 1.5020322054624557, 'latino hispanic': 5.788849666714668}",white,"{'angry': 0.1217779674682954, 'disgust': 8.455983349137887e-07, 'fear': 82.5281164016585, 'happy': 4.8098308819734, 'sad': 0.7449858865158693, 'surprise': 0.0003995164185058311, 'neutral': 11.794883841886062}",fear,image/child/image10.jpeg,1
